id;time;Euler1;Euler2;Euler3;SysCal;GyroCal;AccCal;MagCal;Max;;;
266;22.51.43;148,75;-0,38;-3,25;3;3;3;3;;;;
267;22.52.43;148,75;-0,38;-3,25;3;3;3;3;;;;
268;22.53.43;148,75;-0,38;-3,25;3;3;3;3;;;;
269;22.54.43;148,75;-0,38;-3,25;3;3;3;3;;;;
270;22.55.43;148,75;-0,38;-3,25;3;3;3;3;;;;
271;22.56.43;148,75;-0,38;-3,25;3;3;3;3;;;;
272;22.57.44;148,75;-0,38;-3,25;3;3;3;3;;;;
273;22.58.43;148,75;-0,38;-3,25;3;3;3;3;;;;
274;22.59.43;148,75;-0,38;-3,25;3;3;3;3;;;;
275;23.00.43;148,62;-0,38;-3,25;3;3;3;3;;;;
276;23.01.43;148,62;-0,38;-3,25;3;3;3;3;;;;
277;23.02.43;148,62;-0,38;-3,25;3;3;3;3;;;;
278;23.03.43;148,62;-0,38;-3,25;3;3;3;3;;;;
279;23.04.43;148,62;-0,38;-3,25;3;3;3;3;;;;
280;23.05.44;148,62;-0,38;-3,25;3;3;3;3;;;;
281;23.06.43;148,62;-0,38;-3,25;3;3;3;3;;;;
282;23.07.44;148,62;-0,38;-3,25;3;3;3;3;;;;
283;23.08.44;148,62;-0,38;-3,25;3;3;3;3;;;;
284;23.09.44;148,62;-0,38;-3,25;3;3;3;3;;;;
285;23.10.44;148,62;-0,38;-3,25;3;3;3;3;;;;
286;23.11.44;148,62;-0,38;-3,25;3;3;3;3;;;;
287;23.12.44;148,62;-0,38;-3,25;3;3;3;3;;;;
288;23.13.43;148,62;-0,38;-3,25;3;3;3;3;;;;
289;23.14.44;148,62;-0,38;-3,25;3;3;3;3;;;;
290;23.15.44;148,62;-0,38;-3,25;3;3;3;3;;;;
291;23.16.44;148,62;-0,38;-3,25;3;3;3;3;;;;
292;23.17.44;148,62;-0,38;-3,25;3;3;3;3;;;;
293;23.18.44;148,62;-0,38;-3,25;3;3;3;3;;;;
294;23.19.44;148,62;-0,38;-3,25;3;3;3;3;;;;
295;23.20.44;148,62;-0,38;-3,25;3;3;3;3;;;;
296;23.21.44;148,62;-0,38;-3,25;3;3;3;3;;;;
297;23.22.44;148,62;-0,38;-3,25;3;3;3;3;;;;
298;23.23.44;148,62;-0,38;-3,25;3;3;3;3;;;;
299;23.24.44;148,62;-0,38;-3,25;3;3;3;3;;;;
300;23.25.44;148,62;-0,38;-3,25;3;3;3;3;;;;
301;23.26.44;148,62;-0,38;-3,25;3;3;3;3;;;;
302;23.27.44;148,62;-0,38;-3,25;3;3;3;3;;;;
303;23.28.44;148,62;-0,38;-3,25;3;3;3;3;;;;
