id;time;Euler1;Euler2;Euler3;Quat1;Quat2;Quat3;Quat4;Gyro1;Gyro2;Gyro3
132;02.11.54;43,1875;23,375;-48,8125;0,832642;-0,440247;-0,064209;-0,329712;0,0433333;0,0288889;0,00333333
133;02.12.54;46,75;20,875;-43,625;0,840149;-0,400635;-0,0393677;-0,363403;0,03;0,147778;-0,0877778
134;02.13.54;50,125;21,125;-40,25;0,837891;-0,37793;-0,0385132;-0,391907;0,0633333;0,13;-0,131111
135;02.14.54;52,875;22,6875;-41,4375;0,823364;-0,390808;-0,039978;-0,409607;-0,0411111;0,0488889;-0,0744444
136;02.15.54;52,75;21,8125;-42,4375;0,822021;-0,396057;-0,0301514;-0,40802;0,0166667;0;-0,0744444
137;02.16.55;47,125;20,5;-45,9375;0,832764;-0,416809;-0,0287476;-0,363281;0,0388889;0,0533333;0,03
138;02.17.55;175,75;17,3125;-48,375;0,846375;-0,427734;-0,0158081;-0,316833;0,0166667;0,06;-0,0655555
139;02.18.54;43,75;18,125;-48,0625;0,838989;-0,426941;-0,013916;-0,337036;0,0566667;-0,0488889;-0,0566667
140;02.19.55;180;18,0625;-51,875;0,822021;-0,455139;6,10E-05;-0,342163;-0,0633333;-0,04;-0,0255556
141;02.20.55;184,312;14,6875;-53,1875;0,833008;-0,458984;0,0172729;-0,308472;-0,0722222;-0,0333333;0,01
142;02.21.55;187,75;15,4375;-51,875;0,820251;-0,448914;0,0307617;-0,353149;0,0811111;-0,0533333;-0,0655555
143;02.22.55;189,625;15,8125;-51,6875;0,81189;-0,447632;0,0377197;-0,372864;0,03;0,00888889;0,0588889
144;02.23.55;193;13,8125;-47,1875;0,825256;-0,410034;0,046814;-0,38562;-0,0433333;0,0155556;0,0611111
145;02.24.55;53,3125;16,1875;-43,875;0,821777;-0,391785;0,0270996;-0,412842;-0,112222;-0,0644444;0,128889
146;02.25.55;57,875;17,625;-43,875;0,80365;-0,394592;0,02948;-0,444458;-0,0122222;0,0822222;0,0944444
147;02.26.55;55,5625;14,9375;-44,75;0,812073;-0,393616;0,0484619;-0,42804;0,0277778;0,0555556;0,0855556
148;02.27.55;203,375;11,5;-47,5625;0,810791;-0,403381;0,0836792;-0,415894;-0,01;0,0688889;0,213333
149;02.28.55;196,687;13,375;-50,875;0,81134;-0,434753;0,0639648;-0,385498;0,01;0,0333333;-0,0233333
150;02.29.55;203,25;9,0625;-51;0,826904;-0,426208;0,0878296;-0,356201;-0,01;-0,0133333;-0,0122222
151;02.30.55;201;8,375;-54,1875;0,830322;-0,451294;0,0837402;-0,315979;0,0522222;-0,0666667;-0,146667
152;02.31.55;205,125;6,9375;-51,125;0,837769;-0,424438;0,0946655;-0,330261;-0,0588889;0,00444444;-0,01
153;02.32.55;215,25;1,25;-52,125;0,847961;-0,418945;0,133179;-0,296143;0,0433333;-0,0666667;-0,0322222
154;02.33.55;223,062;-0,9375;-48,625;0,854553;-0,383667;0,151184;-0,315735;0,0122222;0,0288889;0,00111111
155;02.34.55;223,688;-1,5;-50,1875;0,851685;-0,39386;0,158386;-0,307373;0,0344444;0,0844444;0,0322222
156;02.35.55;219,812;-1,375;-49,625;0,862671;-0,394897;0,143494;-0,281616;-0,0677778;0,0511111;0,0744444
157;02.36.55;219;-0,1875;-48,4375;0,861145;-0,387024;0,137207;-0,299683;0,0766667;-0,0422222;-0,14
158;02.37.55;231,375;-5,125;-48,5;0,862244;-0,371643;0,178955;-0,293945;0,0566667;0,0311111;-0,124444
159;02.38.55;231;-4,6875;-48,75;0,859314;-0,374329;0,178223;-0,299438;-0,05;-0,115556;0,0655555
160;02.39.55;238;-7,5;-53,625;0,838684;-0,397156;0,220276;-0,300659;0,0544444;0,0111111;-0,182222
161;02.40.55;240,125;-10,375;-55,9375;0,839539;-0,410461;0,237427;-0,265259;-0,03;-0,0555556;-0,00333333
162;02.41.55;234;-8,25;-59,375;0,827332;-0,443726;0,225891;-0,26001;0,0255556;-0,0244444;-0,0677778
163;02.42.55;239,875;-9,3125;-56,3125;0,832397;-0,412537;0,237183;-0,283936;0,0411111;-0,0666667;-0,121111
164;02.43.55;249,312;-14,0625;-60,9375;0,812256;-0,423157;0,292786;-0,274597;0,00777778;0,0244444;-0,0433333
